feat_1_,feat_2_,feat_3_,feat_4_,feat_5_,feat_6_,feat_7_,feat_8_,feat_9_,feat_10_,response,joint_prob,feat_comb_id
1,3,2,2,3,1,1,1,1,1,5.5,4.58263627245264e-05,205
2,3,2,2,3,1,1,1,1,1,6.5,3.12851762948968e-05,206
3,3,2,2,3,1,1,1,1,1,10.5,1.45411864296296e-05,207
1,1,3,2,3,1,1,1,1,1,8.5,6.7126216607014e-05,208
2,1,3,2,3,1,1,1,1,1,6.5,4.58263627245264e-05,209
3,1,3,2,3,1,1,1,1,1,7.5,2.12998538824876e-05,210
1,2,3,2,3,1,1,1,1,1,7.5,4.58263627245264e-05,211
2,2,3,2,3,1,1,1,1,1,11.5,3.12851762948968e-05,212
3,2,3,2,3,1,1,1,1,1,9.5,1.45411864296296e-05,213
1,3,3,2,3,1,1,1,1,1,9.5,2.12998538824876e-05,214
2,3,3,2,3,1,1,1,1,1,10.5,1.45411864296296e-05,215
3,3,3,2,3,1,1,1,1,1,14.5,6.758667452858e-06,216
1,1,1,3,3,1,1,1,1,1,1.5,9.83261312502153e-05,217
2,1,1,3,3,1,1,1,1,1,-0.5,6.7126216607014e-05,218
3,1,1,3,3,1,1,1,1,1,0.5,3.11999146432014e-05,219
1,2,1,3,3,1,1,1,1,1,0.5,6.7126216607014e-05,220
2,2,1,3,3,1,1,1,1,1,4.5,4.58263627245264e-05,221
3,2,1,3,3,1,1,1,1,1,2.5,2.12998538824876e-05,222
1,3,1,3,3,1,1,1,1,1,2.5,3.11999146432014e-05,223
2,3,1,3,3,1,1,1,1,1,3.5,2.12998538824876e-05,224
3,3,1,3,3,1,1,1,1,1,7.5,9.9000607607138e-06,225
1,1,2,3,3,1,1,1,1,1,4.5,6.7126216607014e-05,226
2,1,2,3,3,1,1,1,1,1,2.5,4.58263627245264e-05,227
3,1,2,3,3,1,1,1,1,1,3.5,2.12998538824876e-05,228
1,2,2,3,3,1,1,1,1,1,3.5,4.58263627245264e-05,229
2,2,2,3,3,1,1,1,1,1,7.5,3.12851762948968e-05,230
3,2,2,3,3,1,1,1,1,1,5.5,1.45411864296296e-05,231
1,3,2,3,3,1,1,1,1,1,5.5,2.12998538824876e-05,232
2,3,2,3,3,1,1,1,1,1,6.5,1.45411864296296e-05,233
3,3,2,3,3,1,1,1,1,1,10.5,6.758667452858e-06,234
1,1,3,3,3,1,1,1,1,1,6.5,3.11999146432014e-05,235
2,1,3,3,3,1,1,1,1,1,4.5,2.12998538824876e-05,236
3,1,3,3,3,1,1,1,1,1,5.5,9.9000607607138e-06,237
1,2,3,3,3,1,1,1,1,1,5.5,2.12998538824876e-05,238
2,2,3,3,3,1,1,1,1,1,9.5,1.45411864296296e-05,239
3,2,3,3,3,1,1,1,1,1,7.5,6.758667452858e-06,240
1,3,3,3,3,1,1,1,1,1,7.5,9.9000607607138e-06,241
2,3,3,3,3,1,1,1,1,1,8.5,6.758667452858e-06,242
3,3,3,3,3,1,1,1,1,1,12.5,3.14139330785581e-06,243
1,1,1,1,1,2,1,1,1,1,3.5,0.000666688957165123,244
2,1,1,1,1,2,1,1,1,1,1.5,0.000455141545580461,245
3,1,1,1,1,2,1,1,1,1,2.5,0.000211547411584662,246
1,2,1,1,1,2,1,1,1,1,2.5,0.000455141545580461,247
2,2,1,1,1,2,1,1,1,1,6.5,0.000310720350602813,248
3,2,1,1,1,2,1,1,1,1,4.5,0.000144421194977648,249
1,3,1,1,1,2,1,1,1,1,4.5,0.000211547411584662,250
2,3,1,1,1,2,1,1,1,1,5.5,0.000144421194977648,251
3,3,1,1,1,2,1,1,1,1,9.5,6.7126216607014e-05,252
1,1,2,1,1,2,1,1,1,1,7.5,0.000455141545580461,253
2,1,2,1,1,2,1,1,1,1,5.5,0.000310720350602813,254
3,1,2,1,1,2,1,1,1,1,6.5,0.000144421194977648,255
1,2,2,1,1,2,1,1,1,1,6.5,0.000310720350602813,256
2,2,2,1,1,2,1,1,1,1,10.5,0.000212125518349692,257
3,2,2,1,1,2,1,1,1,1,8.5,9.85948322531214e-05,258
1,3,2,1,1,2,1,1,1,1,8.5,0.000144421194977648,259
2,3,2,1,1,2,1,1,1,1,9.5,9.85948322531214e-05,260
3,3,2,1,1,2,1,1,1,1,13.5,4.58263627245264e-05,261
1,1,3,1,1,2,1,1,1,1,10.5,0.000211547411584662,262
2,1,3,1,1,2,1,1,1,1,8.5,0.000144421194977648,263
3,1,3,1,1,2,1,1,1,1,9.5,6.7126216607014e-05,264
1,2,3,1,1,2,1,1,1,1,9.5,0.000144421194977648,265
2,2,3,1,1,2,1,1,1,1,13.5,9.85948322531214e-05,266
3,2,3,1,1,2,1,1,1,1,11.5,4.58263627245264e-05,267
1,3,3,1,1,2,1,1,1,1,11.5,6.7126216607014e-05,268
2,3,3,1,1,2,1,1,1,1,12.5,4.58263627245264e-05,269
3,3,3,1,1,2,1,1,1,1,16.5,2.12998538824876e-05,270
1,1,1,2,1,2,1,1,1,1,3.5,0.000455141545580461,271
2,1,1,2,1,2,1,1,1,1,1.5,0.000310720350602813,272
3,1,1,2,1,2,1,1,1,1,2.5,0.000144421194977648,273
1,2,1,2,1,2,1,1,1,1,2.5,0.000310720350602813,274
2,2,1,2,1,2,1,1,1,1,6.5,0.000212125518349692,275
3,2,1,2,1,2,1,1,1,1,4.5,9.85948322531214e-05,276
1,3,1,2,1,2,1,1,1,1,4.5,0.000144421194977648,277
2,3,1,2,1,2,1,1,1,1,5.5,9.85948322531214e-05,278
3,3,1,2,1,2,1,1,1,1,9.5,4.58263627245264e-05,279
1,1,2,2,1,2,1,1,1,1,5.5,0.000310720350602813,280
2,1,2,2,1,2,1,1,1,1,3.5,0.000212125518349692,281
3,1,2,2,1,2,1,1,1,1,4.5,9.85948322531214e-05,282
1,2,2,2,1,2,1,1,1,1,4.5,0.000212125518349692,283
2,2,2,2,1,2,1,1,1,1,8.5,0.000144815862391467,284
3,2,2,2,1,2,1,1,1,1,6.5,6.73096559582247e-05,285
1,3,2,2,1,2,1,1,1,1,6.5,9.85948322531214e-05,286
2,3,2,2,1,2,1,1,1,1,7.5,6.73096559582247e-05,287
3,3,2,2,1,2,1,1,1,1,11.5,3.12851762948968e-05,288
1,1,3,2,1,2,1,1,1,1,9.5,0.000144421194977648,289
2,1,3,2,1,2,1,1,1,1,7.5,9.85948322531214e-05,290
3,1,3,2,1,2,1,1,1,1,8.5,4.58263627245264e-05,291
1,2,3,2,1,2,1,1,1,1,8.5,9.85948322531214e-05,292
2,2,3,2,1,2,1,1,1,1,12.5,6.73096559582247e-05,293
3,2,3,2,1,2,1,1,1,1,10.5,3.12851762948968e-05,294
1,3,3,2,1,2,1,1,1,1,10.5,4.58263627245264e-05,295
2,3,3,2,1,2,1,1,1,1,11.5,3.12851762948968e-05,296
3,3,3,2,1,2,1,1,1,1,15.5,1.45411864296296e-05,297
1,1,1,3,1,2,1,1,1,1,2.5,0.000211547411584662,298
2,1,1,3,1,2,1,1,1,1,0.5,0.000144421194977648,299
3,1,1,3,1,2,1,1,1,1,1.5,6.7126216607014e-05,300
1,2,1,3,1,2,1,1,1,1,1.5,0.000144421194977648,301
2,2,1,3,1,2,1,1,1,1,5.5,9.85948322531214e-05,302
3,2,1,3,1,2,1,1,1,1,3.5,4.58263627245264e-05,303
1,3,1,3,1,2,1,1,1,1,3.5,6.7126216607014e-05,304
2,3,1,3,1,2,1,1,1,1,4.5,4.58263627245264e-05,305
