rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
Gaussian,0.0268313647778742,0.0226951239871087,0.0208853093652751,0.0234705993767527,0.0174727504271661,0.0159465246346531,0.0148617586506053,0.0162673704530036,,,,,,,1.60699999999997,Linear,Linear,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,PpuVG,2018-12-21T11:45:09.522582Z
copula,0.0318129775608016,0.0270533940053192,0.0224659975012093,0.02711078968911,0.0205896475667002,0.0186385656089187,0.0185803204137498,0.0196037707182288,,,,,,,4.50900000000002,Linear,Linear,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,PpuVG,2018-12-21T11:45:09.522582Z
empirical_sigma.01,0.0339985223178811,0.026871471963103,0.0255222980232034,0.0287974307680625,0.0366613480566163,0.0295155991068858,0.0350516339204131,0.0339726961824558,0.1,0.1,0.1,0.1,0.1,0.1,2.8119999999999,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,aumM0,2018-12-21T11:39:07.806118Z
empirical_AIC_each_k,0.0133188677168495,0.00941941596753028,0.00555359033057499,0.00943062467165158,0.00928802567855832,0.00714403404788314,0.00388349102372134,0.00778069473236381,21.7436371329558,21.7436371329558,21.7436371329558,0.822157009949155,0.822157009949155,0.822157009949155,1959.028,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,aumM0,2018-12-21T11:39:07.806118Z
empirical_AIC_full,0.0136821169511251,0.00964914371724253,0.00657580241165059,0.00996902102667274,0.0106247511368111,0.00760833760203224,0.00956676256837728,0.00976437227977138,10.3969226388097,14.8484072677056,0.517092319032965,0.426122253673613,0.656636270007972,14.9239100330514,1927.845,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,aumM0,2018-12-21T11:39:07.806118Z
empirical_independence,0.0139699542512299,0.0104122513915587,0.00777509284101484,0.0107190994946012,0.0110414075195098,0.00776262913540829,0.00621338598804311,0.00891991255487834,Inf,Inf,Inf,Inf,Inf,Inf,2.98999999999978,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,aumM0,2018-12-21T11:39:07.806118Z
Gaussian,0.00925557928110826,0.00809034339862929,0.00872050821588059,0.00868881029853938,0.00633071138813676,0.00634192579733898,0.00689084004550169,0.00652200249423479,,,,,,,2.84100000000035,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,aumM0,2018-12-21T11:39:07.806118Z
copula,0.00845168355975966,0.00875477500825157,0.00951183125341004,0.00890609660714042,0.00609593309523865,0.00656311948497715,0.00760886698706613,0.00677751546467934,,,,,,,5.92000000000007,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,aumM0,2018-12-21T11:39:07.806118Z
treeSHAP,0.0157523526313148,0.0123794687867953,0.00497071237363021,0.0110341779305801,0.0117534241441308,0.0085683381493858,0.00412610662314342,0.00979957863127632,,,,,,,0.00600000000122236,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,0.04,1,0.1,2000,100,1,1000,1235,aumM0,2018-12-21T11:39:07.806118Z
empirical_sigma.01,0.0720789132235121,0.0517666412183371,0.0671220614629366,0.0636558719682619,0.0888663931679014,0.0545007865827582,0.0786171385866802,0.0756290447234137,0.1,0.1,0.1,0.1,0.1,0.1,1.8739999999998,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
empirical_AIC_each_k,0.0327520265118608,0.0273555255401192,0.0220388492326075,0.0273821337615292,0.0272494785457491,0.0279521608386336,0.0183803473051221,0.0252112462555031,0.658917201678347,0.658917201678347,0.658917201678347,0.411209242017296,0.411209242017296,0.411209242017296,1178.65,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
empirical_AIC_full,0.0326348025846254,0.0273147659976274,0.0217231586890368,0.0272242424237632,0.0271514213479296,0.0276939690188555,0.0183681391620603,0.0250929574402265,0.668366711037138,0.67310382615906,0.64355999292333,0.350009494416313,0.433781477388705,0.431295447485277,1331.992,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
empirical_independence,0.0735722757254333,0.0704303973026363,0.07826261247763,0.0740884285018998,0.0562524131146361,0.0561513027385427,0.057398309416654,0.0565059011779231,Inf,Inf,Inf,Inf,Inf,Inf,1.9320000000007,Linear,Linear,Gaussian,All var equal contribution,0.08,1,0.1,2000,100,1,1000,1235,5HnaW,2018-12-21T12:37:22.025494Z
