rn,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed
empirical_sigma.01,0.0724052897347451,0.0698976729608273,0.0757316527760406,0.0726782051572043,0.069750276111935,0.0717459862570869,0.0768130776457536,0.0728454058498408,0.1,0.1,0.1,0.1,0.1,0.1,18.872000000003,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
empirical_AIC_each_k,0.0434121532544413,0.0479391236773449,0.0527278509377792,0.0480263759565218,0.0362401901802522,0.0414664074538065,0.0494549729933571,0.0428888954741334,0.316749077551384,0.316749077551384,0.316749077551384,0.231479687062976,0.231479687062976,0.231479687062976,13156.666,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
empirical_AIC_full,0.0435966862030917,0.0482346296727891,0.0527109330421807,0.0481807496393538,0.0367715388758979,0.0413743127607095,0.0496674417874453,0.0430840229558224,0.299625010655219,0.333437964406889,0.320366363794868,0.237494459035786,0.234962943188373,0.223011868942163,12736.841,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
empirical_independence,0.233021046010284,0.231141683170573,0.228061541576081,0.230741423585646,0.176698548078314,0.16903700051988,0.167311591851619,0.171019541271044,Inf,Inf,Inf,Inf,Inf,Inf,18.4320000000007,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
Gaussian,0.0349957836436051,0.0259577372973482,0.0477946004955335,0.0362493738121622,0.0236797748004714,0.0196145913308057,0.0282432133270551,0.0257088983348448,,,,,,,16.7829999999958,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
copula,0.0345176601748212,0.0283507406400749,0.0487768269906034,0.0372150759351665,0.0237971548139546,0.0200377769855281,0.0284887257005246,0.0258059274624589,,,,,,,46.5329999999958,Linear,Linear,Gaussian,All var equal contribution,0.3,1,0.1,2000,1000,1,1000,123
empirical_sigma.01,0.0683478595126969,0.0662847483458979,0.0736834212539592,0.0694386763708513,0.0698853263877754,0.0710834974963317,0.0774819915096384,0.0729356241152886,0.1,0.1,0.1,0.1,0.1,0.1,18.3479999999981,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
empirical_AIC_each_k,0.0432125728708623,0.0469907597811972,0.0541036389491303,0.0481023238670633,0.0380064080314664,0.0419527609712542,0.0495278920920559,0.043646083326281,0.276859600550212,0.276859600550212,0.276859600550212,0.203662148703051,0.203662148703051,0.203662148703051,12389.877,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
empirical_AIC_full,0.043290981784521,0.0472644003119104,0.0539269709265377,0.0481607843409897,0.0385579236393155,0.0418005702615969,0.0492352148931747,0.0436353100783586,0.2725429860461,0.27094788229333,0.286415399942599,0.213368541485741,0.205433300878068,0.192573344072338,12003.348,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
empirical_independence,0.281344219902854,0.279156813867132,0.274777430438563,0.278426154736183,0.213147189320489,0.204216947730697,0.202174698815067,0.206517065845498,Inf,Inf,Inf,Inf,Inf,Inf,18.7480000000069,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
Gaussian,0.0342953326607761,0.026186430177881,0.0480569080482779,0.0361795569623117,0.0228039443422091,0.0195713250632771,0.0284482498212625,0.0255328773768413,,,,,,,16.3819999999978,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
copula,0.0338200389081027,0.0294637927023558,0.0495376393566163,0.037607156989025,0.0238781197957567,0.0207842558421823,0.029480615865541,0.0264138606159593,,,,,,,46.275999999998,Linear,Linear,Gaussian,All var equal contribution,0.4,1,0.1,2000,1000,1,1000,123
empirical_sigma.01,0.0617834786003867,0.0620475977624623,0.0747549118317741,0.0661953293982077,0.0644459669508692,0.0661728102137275,0.0686030737210036,0.0666824509459517,0.1,0.1,0.1,0.1,0.1,0.1,18.4300000000076,Linear,Linear,Gaussian,All var equal contribution,0.5,1,0.1,2000,1000,1,1000,123
empirical_AIC_each_k,0.0422381014658087,0.0445488320685234,0.0547832118558782,0.0471900484634034,0.0387086632937919,0.0423239770926719,0.0472168354962298,0.0432227264044438,0.22551008401099,0.22551008401099,0.22551008401099,0.17988201948527,0.17988201948527,0.17988201948527,12017.231,Linear,Linear,Gaussian,All var equal contribution,0.5,1,0.1,2000,1000,1,1000,123
empirical_AIC_full,0.0430192734156778,0.0442881115576564,0.0551759476906386,0.0474944442213243,0.039723847285073,0.0427841132354856,0.0473245135347001,0.0437174653543135,0.256051271199495,0.242240153947865,0.166351950992652,0.186344115522419,0.182748479984643,0.172054965931553,10902.864,Linear,Linear,Gaussian,All var equal contribution,0.5,1,0.1,2000,1000,1,1000,123
empirical_independence,0.3150993781654,0.312643690493889,0.307451409342582,0.311731492667291,0.238530242090479,0.228749617099698,0.226567268078615,0.231285697665422,Inf,Inf,Inf,Inf,Inf,Inf,18.9739999999874,Linear,Linear,Gaussian,All var equal contribution,0.5,1,0.1,2000,1000,1,1000,123
Gaussian,0.0330055905214276,0.0263933851607097,0.0475009379482203,0.0356333045434525,0.021584716531422,0.0195894133578194,0.0284684206484701,0.0251143280809447,,,,,,,16.4090000000142,Linear,Linear,Gaussian,All var equal contribution,0.5,1,0.1,2000,1000,1,1000,123
copula,0.0329737894649686,0.0310909943958232,0.0499400834689188,0.0380016224432369,0.022658738276175,0.021155366462743,0.0305719771219635,0.0265203329921416,,,,,,,45.9599999999919,Linear,Linear,Gaussian,All var equal contribution,0.5,1,0.1,2000,1000,1,1000,123
empirical_sigma.01,0.0591638897547261,0.0597393092949513,0.0723420370926816,0.063748412047453,0.0627009299685203,0.0632078089272128,0.0624063344306895,0.063045695125812,0.1,0.1,0.1,0.1,0.1,0.1,18.8420000000042,Linear,Linear,Gaussian,All var equal contribution,0.6,1,0.1,2000,1000,1,1000,123
empirical_AIC_each_k,0.0415934690596534,0.0447768184727295,0.0560242979910343,0.0474648618411391,0.0418192756039602,0.0443909970083632,0.0448956325920761,0.0441444852582731,0.187051135465915,0.187051135465915,0.187051135465915,0.160162496563944,0.160162496563944,0.160162496563944,12067.605,Linear,Linear,Gaussian,All var equal contribution,0.6,1,0.1,2000,1000,1,1000,123
empirical_AIC_full,0.0423956007596663,0.0445405169922518,0.0569541964059175,0.0479634380526119,0.0424766157921735,0.0437328199697636,0.0464096611698784,0.0446854044938371,0.217704593092544,0.210650572538284,0.138778500617866,0.163212201552516,0.163187665334789,0.154801040728714,10344.382,Linear,Linear,Gaussian,All var equal contribution,0.6,1,0.1,2000,1000,1,1000,123
