rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,mu.scale,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.943486132972579,0.964657228833849,0.947391349838883,0.95184490388177,0.130073792541699,0.173044497587698,0.111990881360427,0.138369723829941,0.073298149466644,0.0921590869218076,0.0695101898796598,0.0783224754227038,0.0817456937343946,0.0884761715718279,0.0890296784320519,0.0867600780478978,0.1,0.1,0.1,0.1,0.1,0.1,3.19100000000071,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1239,N9qpg,2019-01-17T17:43:19.812431Z
empirical_AIC_each_k,0.946614225136771,0.968079476121807,0.949314903444128,0.954669534900902,0.132727556076335,0.173102011413702,0.131905677528958,0.145911748339665,0.0692410325313413,0.0832353049185186,0.0669686577184135,0.0731483317227578,0.076486384621835,0.0803587257960663,0.0864578613499765,0.0812527941026924,0.146746512774389,0.146746512774389,0.146746512774389,0.124955797475906,0.124955797475906,0.124955797475906,1801.03,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1239,N9qpg,2019-01-17T17:43:19.812431Z
empirical_AIC_full,0.947448847916984,0.967887791916032,0.94986670711151,0.955067782314842,0.123219472785577,0.175909032830137,0.128503950136736,0.142544151917483,0.0681585317486109,0.0837351367313251,0.0662395765201956,0.0727110816667105,0.0694370808759508,0.0813902064668446,0.0762445278022822,0.076000895060468,0.14193870033415,0.145454003622086,0.150523930854677,0.18750407280124,0.104461225583259,0.190733051876176,1470.772,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1239,N9qpg,2019-01-17T17:43:19.812431Z
empirical_independence,0,0,0,0,2.2726946679777,6.43664083203009,3.1719192194019,3.96041823980323,1.29699405335471,2.60757953836034,1.32126921460218,1.74194760210574,0.33621766191191,0.642748277661013,0.357515157769104,0.769771177494863,Inf,Inf,Inf,Inf,Inf,Inf,3.26800000000003,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1239,N9qpg,2019-01-17T17:43:19.812431Z
Gaussian,0.683231332253246,0.722032594992401,0.702959985697726,0.702741304314458,0.554224860514262,1.28995214896573,0.545669703284526,0.796615570921506,0.410847078356633,0.724822117628936,0.392469826402587,0.509379674129385,0.277779180813461,0.449820872304711,0.243411015009609,0.368107132299973,,,,,,,3.13699999999881,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1239,N9qpg,2019-01-17T17:43:19.812431Z
copula,0.545467770393656,0.576714940871166,0.570309536582465,0.564164082615763,0.59728751862088,1.40248209744695,0.897555497861234,0.965775037976356,0.589525598857485,1.10374945907799,0.567736781121734,0.75367061301907,0.380066235757613,0.610379007225162,0.370086246150523,0.527348105390374,,,,,,,8.35000000000036,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1239,N9qpg,2019-01-17T17:43:19.812431Z
empirical_sigma.01,0.974595084127166,0.983134276145539,0.972262235473808,0.976663865248838,0.144169734014919,0.0540562208625561,0.062789142885541,0.0870050325876721,0.0629038780048937,0.0831146024707873,0.0680130259807318,0.0713438354854709,0.049905741609154,0.0651431816111052,0.0652151047766689,0.0609244087428539,0.1,0.1,0.1,0.1,0.1,0.1,3.28999999999905,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1237,LOFen,2019-01-17T18:20:55.303107Z
empirical_AIC_each_k,0.973779949143206,0.983629791887448,0.971202837291745,0.976204192774133,0.110851934003702,0.0530538713098799,0.0613076360710703,0.0750711471282175,0.0649221941388742,0.0806726916306599,0.0706106713682181,0.0720685190459174,0.0556977476302265,0.0851487694734909,0.0724813225949335,0.0721788476478732,0.0685912456781324,0.0685912456781324,0.0685912456781324,0.0899159050070045,0.0899159050070045,0.0899159050070045,1195.497,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1237,LOFen,2019-01-17T18:20:55.303107Z
empirical_AIC_full,0.9748444475617,0.984888690622697,0.972942579039659,0.977558572408018,0.0836274246662247,0.049329448766274,0.0586297492388147,0.0638622075571045,0.0622864413188861,0.0744688151274028,0.0663448228861275,0.0677000264441388,0.0555010965410616,0.0809128375655262,0.0654997376082072,0.0680725067439494,0.068311080557544,0.0671728808954672,0.07006856434878,0.135806914025878,0.0715189670040867,0.112290494350574,1398.189,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1237,LOFen,2019-01-17T18:20:55.303107Z
empirical_independence,0,0,0,0,4.62142467246297,2.98447383320426,1.47493846975554,3.02694565847426,2.47605141933014,4.92801869566983,2.45200098647136,3.28535703382378,0.305151999353659,0.52277354761152,0.348851122266117,1.23101246833325,Inf,Inf,Inf,Inf,Inf,Inf,3.41100000000006,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1237,LOFen,2019-01-17T18:20:55.303107Z
Gaussian,0.764274870293628,0.774645432526881,0.748272123959134,0.762397475593214,0.839866305012627,0.856539211461251,0.335464579239258,0.677290031904379,0.583667541981244,1.11055152166212,0.617237000374543,0.770485354672635,0.400039019503192,0.718311252675106,0.369247503426492,0.571992200896361,,,,,,,2.78200000000106,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1237,LOFen,2019-01-17T18:20:55.303107Z
copula,0.486358478208198,0.492020795612948,0.461682887108888,0.480020720310012,1.30308896490665,1.01119267360533,0.701541527651179,1.00527438872105,1.27180281905948,2.50333101623088,1.31995409184342,1.69836264237793,0.763177229520147,1.19781221150821,0.754591895752819,1.08714853293389,,,,,,,7.56299999999828,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1237,LOFen,2019-01-17T18:20:55.303107Z
empirical_sigma.01,0.973465278223062,0.9859673945473,0.978355560334606,0.979262744368323,0.0341914860529794,0.0932697528906815,0.0850589945209069,0.0708400778215226,0.065613646525854,0.0698189370549358,0.0541702516584021,0.0632009450797306,0.0510935315361548,0.0634428135007255,0.043256976262321,0.0534833792810042,0.1,0.1,0.1,0.1,0.1,0.1,3.15699999999924,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1236,N6xHi,2019-01-17T18:15:54.550338Z
empirical_AIC_each_k,0.973919289792111,0.985731860888213,0.980141863526718,0.979931004735681,0.0318862361869325,0.0884541047649686,0.0890005401737537,0.0697802937085516,0.0644909909027543,0.0709908298850705,0.04969961185664,0.0617271442148216,0.0631795771231767,0.0631548711416644,0.0414498632269597,0.0573652886214974,0.0400733697716953,0.0400733697716953,0.0400733697716953,0.105547146933472,0.105547146933472,0.105547146933472,1981.589,Linear,Linear,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,5,0.2,0.5,0.1,2000,100,1,1000,1236,N6xHi,2019-01-17T18:15:54.550338Z
