none,group1,group2,group3,group1_rank,group2_rank,group3_rank,correlation,pre_grouped,test_id,model_type,grouping,No_test_obs,response,joint_prob
8.36239998079898,2.68368248813474,1.9769587577944,0.976958757910847,1,2,3,0,1,21,experiment_lm1,A,100,4,6.73096559582247e-05
8.36239998079898,2.68368248759687,-2.02304124182024,-1.02304124193663,1,3,2,0,1,22,experiment_lm1,A,100,9,6.73096559582247e-05
8.36239998079898,2.68368248777616,-2.02304124179346,0.976958757857305,1,3,2,0,1,23,experiment_lm1,A,100,7,6.73096559582247e-05
8.36239998079897,1.6836824881588,1.97695875772421,-0.0230412420429791,2,1,3,0,1,24,experiment_lm1,A,100,10,4.58263627245264e-05
8.36239998079898,-1.31631751123099,4.97695875724454,-0.0230412421733872,3,1,2,0,1,25,experiment_lm1,A,100,6,9.85948322531214e-05
8.36239998079898,-1.31631751167921,-0.0230412422403163,-0.0230412422403057,3,2,1,0,1,26,experiment_lm1,A,100,17,3.12851762948968e-05
8.36239998079898,-1.31631751141027,2.97695875745059,-0.0230412422001587,3,1,2,0,1,27,experiment_lm1,A,100,6,0.000212125518349692
8.36239998079898,-1.31631751141027,3.97695875733421,-1.02304124208373,3,1,2,0,1,28,experiment_lm1,A,100,10,3.12851762948968e-05
8.36239998079897,-1.3163175110517,5.97695875715492,0.976958757736972,3,1,2,0,1,29,experiment_lm1,A,100,11,6.73096559582247e-05
8.36239998079898,-1.31631751176885,-2.02304124202088,0.976958757629888,2,3,1,0,1,30,experiment_lm1,A,100,5,4.59515948420424e-05
8.36239998079898,-2.31631751147586,-0.0230412422837829,0.976958757599805,3,2,1,0,1,31,experiment_lm1,A,100,6,9.85948322531214e-05
8.36239998079897,-2.3163175115655,-2.02304124206433,1.97695875747,3,2,1,0,1,32,experiment_lm1,A,100,12,9.85948322531214e-05
8.36239998079898,-3.31631751154143,-0.0230412423674098,-1.02304124225099,3,1,2,0,1,33,experiment_lm1,A,100,12,0.000144421194977648
8.36239998079897,1.68368248833819,4.97695875740171,-1.02304124189979,2,1,3,0,1,34,experiment_lm1,A,100,11,0.000144815862391467
8.36239998079898,1.68368248780032,-3.02304124174729,0.976958757787065,1,3,2,0,1,35,experiment_lm1,A,100,1,0.000212125518349692
8.36239998079898,0.683682487824386,-1.02304124205035,-2.02304124193392,1,2,3,0,1,36,experiment_lm1,A,100,7,1.45809238964393e-05
8.36239998079897,0.683682487734742,-4.02304124171448,-0.0230412421801414,1,3,2,0,1,37,experiment_lm1,A,100,6,4.59515948420424e-05
8.36239998079897,-0.316317511703329,-0.023041242170097,0.976958757713514,3,2,1,0,1,38,experiment_lm1,A,100,10,6.79565745993367e-06
8.36239998079898,-0.316317512420479,-7.02304124146226,-0.0230412422771544,2,3,1,0,1,39,experiment_lm1,A,100,10,1.45809238964393e-05
8.36239998079898,4.68368248808661,3.9769587577021,0.976958758051331,1,2,3,0,1,40,experiment_lm1,A,100,-1,4.58263627245264e-05
8.36239998079898,4.68368248799696,4.97695875757228,-1.02304124172922,2,1,3,0,1,41,experiment_lm1,A,100,9,6.73096559582247e-05
8.36239998079897,4.68368248781767,0.97695875801118,0.976958758011174,1,2,3,0,1,42,experiment_lm1,A,100,15,6.73096559582247e-05
