none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs,Time
3.3433400661795,-0.599380892252213,5.29984064589487,-1.04322796731744,0.124093522351301,-1.15360202655045,3,1,4,2,5,0,1,0,51,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334005175212,4.3271837164851,-0.709313011746877,0.913993224988088,9.71777980751006,-0.609084636740844,2,5,3,1,4,0,1,0,52,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334007256729,-1.54103565956002,-1.58935543458509,-0.649057626529877,-0.973616154832504,-1.55919415223659,3,5,1,2,4,0,1,0,53,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334004483071,2.77654475288331,0.0497339212490548,15.612107190806,-0.244029644700887,28.6373789034744,3,4,2,5,1,0,1,0,54,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334016586621,0.5113207690824,-0.908059551501104,2.97765639106439,5.1007711096687,0.536003035067681,4,5,2,1,3,0,1,0,55,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334006281126,-0.639631700021776,-0.938974284483879,-21.5410044756908,-0.713110146915955,-0.76502732988859,1,4,5,2,3,0,1,0,56,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334001445648,-0.919042461831705,-0.992902726165809,-1.49102227009261,-0.483403985689568,3.80021709569642,3,4,5,2,1,0,1,0,57,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334003786765,-0.92725859549326,-0.665616863906874,-0.797931453876066,-0.537735156976549,-0.923294283132712,5,2,3,1,4,0,1,0,58,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334013631128,-0.719813836677171,-0.915312378966142,-0.714715304730131,-0.994056338078051,11.276342781749,3,4,2,5,1,0,1,0,59,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334005248232,-3.47364699756269,-0.358830679303065,-0.705384763468419,2.29985119515964,-0.80034796944015,5,2,3,1,4,0,1,0,60,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.3433401292017,-0.525738058474441,-2.55316352240394,2.23424104491265,-0.853435826290792,-18.0893753701734,2,4,1,3,5,0,1,0,61,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.3433400613897,-0.791281200337316,4.8560828793218,-1.11748293208947,-0.846956453328343,5.47276265142024,3,2,5,4,1,0,1,0,62,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334011756491,-0.910773749480122,-0.39442509521011,7.76259695164164,-0.851343956599514,2.7800503501022,5,3,1,4,2,0,1,0,63,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334010287907,34.5895372825675,-0.955089102342673,-0.971494469565528,-1.3511059817286,-1.32389045954829,1,2,3,5,4,0,1,0,64,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334002888572,-0.831228656029559,5.64980183590858,-0.378339402763684,-14.4293350552012,-3.7766773956498,3,1,2,5,4,0,1,0,65,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334002622345,-4.45730454471125,-1.84079632295269,-0.820857448153725,-1.05100696330273,-8.63988491962793,4,3,1,2,5,0,1,0,66,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334012083078,1.81329584225829,-0.551265062410854,1.7290408274016,10.3892080937581,-1.32096544980882,2,4,3,1,5,0,1,0,67,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334003347945,-0.699841697887752,-0.173435529081819,-0.498801856548595,-1.03971860144931,-8.75770239353857,3,1,2,4,5,0,1,0,68,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334005019878,5.76185710549016,0.0210305433640702,-0.581587344052291,-2.92803329306749,-1.50705994263846,1,2,3,5,4,0,1,0,69,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334009197343,-0.614371602476331,-0.859289349758563,-0.349341847159714,-0.962842279158916,-0.230818637487815,3,4,2,5,1,0,1,0,70,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334014433765,9.67044103124325,-1.84519001329375,-1.03367302305318,-3.8081951497089,1.35071947470856,1,4,3,5,2,0,1,0,71,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334015566759,-1.00330562900471,0.191386865039205,15.17733842406,-6.04583809639456,-1.21335280583553,3,2,1,5,4,0,1,0,72,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334008679279,-0.962494472441195,-1.59831625852522,-0.679010193653588,1.42907639389333,-0.75903974792256,4,5,2,1,3,0,1,0,73,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334011358734,16.3798088968684,-0.865592081709384,-0.716617526451315,-0.677043728773831,-0.442764592061409,1,5,4,3,2,0,1,0,74,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334000772264,-3.37662288253899,-0.614453824839364,-10.4952338061301,-0.0349956313006125,11.4420816975336,4,3,5,2,1,0,1,0,75,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
3.34334011859816,-0.439142773359451,-0.82003901618273,-0.805036191516514,-0.73553128142309,-1.98637238930625,1,4,3,2,5,0,1,0,76,MJ-groupB-experiment_gam_diff_corr,B,100,2021-02-12T18:17:56.506022Z
