none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,test_id,model_type,grouping,No_test_obs,response,joint_prob
8.36239997870989,0.0102094938023769,-0.331135252362158,-1.72054847489587,1.69289898592201,0.986175255551889,3,4,5,1,2,0,1,38,experiment_lm1,B,100,10,6.79565745993367e-06
8.36239997870989,0.0102094930314456,-0.331135252091814,-3.72054847470314,-3.30710101400166,-0.0138247442165711,1,3,5,4,2,0,1,39,experiment_lm1,B,100,10,1.45809238964393e-05
8.36239997870989,0.0102094946696747,4.66886474752764,3.27945152499403,0.692898985579097,0.986175255247749,5,1,2,4,3,0,1,40,experiment_lm1,B,100,-1,4.58263627245264e-05
8.36239997870989,0.0102094945733078,4.66886474756143,3.27945152502782,1.69289898565167,-1.01382474479607,4,1,2,3,5,0,1,41,experiment_lm1,B,100,9,6.73096559582247e-05
8.36239997870989,0.0102094943805753,4.66886474762902,1.2794515250178,-0.307101014358346,0.986175255349128,4,1,2,5,3,0,1,42,experiment_lm1,B,100,15,6.73096559582247e-05
8.36239997870989,0.010209494958775,3.66886474738745,3.27945152489265,3.69289898559413,1.98617525518517,5,2,3,1,4,0,1,43,experiment_lm1,B,100,14,9.92711517871451e-06
8.36239997870989,0.0102094933205452,2.66886474792313,-6.7205484749209,0.692898986052198,-1.01382474435676,3,1,5,2,4,0,1,44,experiment_lm1,B,100,12,1.46409329194354e-06
8.36239997870989,2.01020949450794,-1.33113525262582,3.27945152507325,3.69289898577473,-0.0138247447118354,3,5,2,1,4,0,1,45,experiment_lm1,B,100,18,6.7126216607014e-05
8.36239997870989,2.01020949402611,-2.33113525249567,3.27945152524222,-0.307101014211538,-0.0138247445428727,2,5,1,4,3,0,1,46,experiment_lm1,B,100,10,0.000144421194977648
8.36239997870989,2.01020949412247,-2.33113525252946,1.27945152513082,2.69289898587111,-0.0138247445766564,2,5,3,1,4,0,1,47,experiment_lm1,B,100,5,2.13580611161823e-05
8.36239997870989,2.01020949335154,-2.33113525225912,-3.72054847479288,-1.3071010140138,0.986175255732486,1,4,5,3,2,0,1,48,experiment_lm1,B,100,5,2.13580611161823e-05
8.36239997870989,2.01020949392974,1.6688647476933,-1.72054847491803,-1.30710101421656,0.986175255529731,1,2,5,4,3,0,1,49,experiment_lm1,B,100,12,1.45809238964393e-05
8.36239997870989,2.01020949392974,-0.331135252384315,-1.72054847491803,1.69289898589986,-0.0138247445090798,1,4,5,2,3,0,1,50,experiment_lm1,B,100,8,1.45809238964393e-05
8.36239997870989,2.01020949335154,4.66886474801238,-6.72054847490927,-3.3071010140914,-1.01382474434512,2,1,5,4,3,0,1,51,experiment_lm1,B,100,7,6.758667452858e-06
8.36239997870989,2.01020949412247,3.66886474770322,0.279451525091988,-3.30710101436174,0.986175255462142,2,1,4,5,3,0,1,52,experiment_lm1,B,100,21,3.12851762948968e-05
8.3623999787099,-0.989790505731368,-1.33113525257569,3.27945152512338,4.69289898586367,-0.0138247446616973,4,5,2,1,3,0,1,53,experiment_lm1,B,100,8,6.73096559582247e-05
8.36239997870989,-0.989790505538635,-1.33113525264328,3.2794515250558,4.69289898579609,1.98617525534832,4,5,2,1,3,0,1,54,experiment_lm1,B,100,1,4.58263627245264e-05
8.36239997870989,-0.989790506887765,-1.33113525217017,-0.720548474626313,-3.30710101404127,-0.0138247442561893,3,4,2,5,1,0,1,55,experiment_lm1,B,100,8,0.000211547411584662
