correlation,pre_grouped,standardized,group1,group2,group3,group1_rank,group2_rank,group3_rank,test_id,model_type,grouping,No_test_obs,MAD,MDR
0,1,0,-1.09564260466343,0.168112051992315,0.105261198130905,3,1,2,37,experiment1,A,100,1.14916828668131,2
0,1,0,2.56184263325745,-0.31769886880097,1.47552980289303,1,3,2,38,experiment1,A,100,1.14916828668131,2
0,1,0,-0.366542943979003,1.30134063179677,2.83907425960234,3,2,1,39,experiment1,A,100,1.14916828668131,2
0,1,0,0.000842568908636099,1.94830002591444,0.483495898695852,3,1,2,40,experiment1,A,100,1.14916828668131,2
0,1,0,0.0460179127499761,1.45084006114163,0.966313401427137,3,1,2,41,experiment1,A,100,1.14916828668131,2
0,1,0,0.468493834009234,-0.736637917203226,1.04502587525866,2,3,1,42,experiment1,A,100,1.14916828668131,2
0,1,0,-0.81402155229587,0.0465539958645349,-2.23119901581901,2,1,3,43,experiment1,A,100,1.14916828668131,2
0,1,0,1.17214903852055,0.843053478830359,-1.46973551270061,1,2,3,44,experiment1,A,100,1.14916828668131,2
0,1,0,-0.923663367606124,2.22151482778572,2.75501544250085,3,2,1,45,experiment1,A,100,1.14916828668131,2
0,1,0,-1.08106317410806,-0.346907178921027,1.706194009783,3,2,1,46,experiment1,A,100,1.14916828668131,2
0,1,0,0.70382875901211,1.26394472801144,0.766810508100631,3,1,2,47,experiment1,A,100,1.14916828668131,2
0,1,0,3.49087108679518,1.64390276599153,0.129278646760114,1,2,3,48,experiment1,A,100,1.14916828668131,2
0,1,0,0.16533870382492,1.15266566866971,1.06571958490597,3,1,2,49,experiment1,A,100,1.14916828668131,2
0,1,0,-1.92878780809264,0.696281920420541,0.29971766812092,3,1,2,50,experiment1,A,100,1.14916828668131,2
0,1,0,1.22922274880791,0.000580427138915596,0.213433938381084,1,3,2,51,experiment1,A,100,1.14916828668131,2
0,1,0,0.968365941692605,1.99605783102062,-0.00962390757853548,2,1,3,52,experiment1,A,100,1.14916828668131,2
0,1,0,-3.36477466125755,-0.846638209040849,-1.43322110543358,3,1,2,53,experiment1,A,100,1.14916828668131,2
0,1,0,-0.299702659563653,1.41916817271044,3.32093827873068,3,2,1,54,experiment1,A,100,1.14916828668131,2
0,1,0,-0.52480718532344,0.989415484528401,1.06565839681512,3,2,1,55,experiment1,A,100,1.14916828668131,2
0,1,0,1.98947231967637,-0.595595007143013,-0.234504285057449,1,3,2,56,experiment1,A,100,1.14916828668131,2
0,1,0,6.16898287945306,0.0987792201410098,1.90990366037521,1,3,2,57,experiment1,A,100,1.14916828668131,2
0,1,0,-1.1063682292826,1.48325495518266,-0.649730974576019,3,1,2,58,experiment1,A,100,1.14916828668131,2
0,1,0,1.5034808792898,-0.32367211015663,2.77758244721352,2,3,1,59,experiment1,A,100,1.14916828668131,2
0,1,0,0.959012759265361,1.11468976344691,-0.135803086066958,2,1,3,60,experiment1,A,100,1.14916828668131,2
0,1,0,-1.24061790823157,0.517313811101208,-3.35033587617363,2,1,3,61,experiment1,A,100,1.14916828668131,2
0,1,0,0.653259394011325,0.664482963403633,2.22217854095156,3,2,1,62,experiment1,A,100,1.14916828668131,2
0,1,0,-0.0189051425508299,0.677507340099872,1.82182714820776,3,2,1,63,experiment1,A,100,1.14916828668131,2
0,1,0,-1.24515276166706,-0.679554770327412,-1.9031929993164,2,1,3,64,experiment1,A,100,1.14916828668131,2
0,1,0,0.00511295631239461,0.727915587189572,-2.13942614623859,2,1,3,65,experiment1,A,100,1.14916828668131,2
0,1,0,-4.08977044127536,-1.36809123285292,-2.28900487680504,3,1,2,66,experiment1,A,100,1.14916828668131,2
0,1,0,0.00841653950588592,0.815456658366687,-0.69888108941595,2,1,3,67,experiment1,A,100,1.14916828668131,2
0,1,0,0.58882314377081,0.573738395177891,-2.63404367753308,1,2,3,68,experiment1,A,100,1.14916828668131,2
0,1,0,0.860111270388779,-0.109252122015652,-1.62351558945535,1,2,3,69,experiment1,A,100,1.14916828668131,2
0,1,0,-1.3050337557463,-0.878056800257111,0.273027398633984,3,2,1,70,experiment1,A,100,1.14916828668131,2
0,1,0,1.48095777801126,-1.7934073034302,0.875577860668407,1,3,2,71,experiment1,A,100,1.14916828668131,2
0,1,0,-1.51473802577591,1.224114848132,-1.19033889225233,3,1,2,72,experiment1,A,100,1.14916828668131,2
0,1,0,1.32418570955969,-0.405945473723571,-5.86359158663147e-05,1,3,2,73,experiment1,A,100,1.14916828668131,2
0,1,0,1.95325701357475,-0.421666831893545,-0.18206594942737,1,3,2,74,experiment1,A,100,1.14916828668131,2
0,1,0,1.2560395004914,-0.830439772522814,3.06161810152622,2,3,1,75,experiment1,A,100,1.14916828668131,2
0,1,0,2.82610434365408,-0.470525741951681,-1.5507289998052,1,2,3,76,experiment1,A,100,1.14916828668131,2
0,1,0,-1.41011853130233,-1.38804910426237,-2.08740494142167,2,1,3,77,experiment1,A,100,1.14916828668131,2
0,1,0,-1.106271158636,-0.563678121356652,-3.10581202539863,2,1,3,78,experiment1,A,100,1.14916828668131,2
0,1,0,1.50497751869044,-0.139346498747781,0.745037080639658,1,3,2,79,experiment1,A,100,1.14916828668131,2
0,1,0,0.177068065911418,-0.254729693302005,0.0830756150957667,1,3,2,80,experiment1,A,100,1.14916828668131,2
0,1,0,1.1203329178158,-0.347091237882278,1.33174748931883,2,3,1,81,experiment1,A,100,1.14916828668131,2
0,1,0,1.9511040096611,1.59179280742228,-0.431459519901445,1,2,3,82,experiment1,A,100,1.14916828668131,2
0,1,0,0.80713177080268,1.25302687668416,0.946162581038886,3,1,2,83,experiment1,A,100,1.14916828668131,2
0,1,0,-0.429185993229441,-1.101695408385,0.621035993904031,2,3,1,84,experiment1,A,100,1.14916828668131,2
0,1,0,3.27410848232717,-0.921275204864331,-0.0400133600931643,1,3,2,85,experiment1,A,100,1.14916828668131,2
0,1,0,-1.54069679719471,-1.57883542584297,-1.14344853499823,2,3,1,86,experiment1,A,100,1.14916828668131,2
0,1,0,4.58133148486732,0.16808474336431,2.46149674426266,1,3,2,87,experiment1,A,100,1.14916828668131,2
0,1,0,-1.28341674837799,-0.575849701800816,-0.627420261224975,3,1,2,88,experiment1,A,100,1.14916828668131,2
0,1,0,-1.04981877092142,1.19328308394531,1.37886414233352,3,2,1,89,experiment1,A,100,1.14916828668131,2
0,1,0,-1.00056488303181,1.7491706757236,0.487189917976904,3,1,2,90,experiment1,A,100,1.14916828668131,2
0,1,0,1.71565657957864,0.904120365434195,2.32335280312121,2,3,1,91,experiment1,A,100,1.14916828668131,2
0,1,0,0.0279767102912816,-0.0992355015095871,0.797460778651835,2,3,1,92,experiment1,A,100,1.14916828668131,2
0,1,0,-0.583135269302151,1.42297586387273,-0.400330978136668,3,1,2,93,experiment1,A,100,1.14916828668131,2
0,1,0,-0.125785529842541,1.66893085429908,0.312378054444439,3,1,2,94,experiment1,A,100,1.14916828668131,2
0,1,0,0.259900641081406,0.558102860270553,-0.241157027590231,2,1,3,95,experiment1,A,100,1.14916828668131,2
0,1,0,0.0340447459455004,2.30277207723762,-3.56183147235671,2,1,3,96,experiment1,A,100,1.14916828668131,2
0,1,0,-1.89924055630968,0.288933607041628,2.31952669589142,3,2,1,97,experiment1,A,100,1.14916828668131,2
0,1,0,-1.84284916126475,-0.485363724079568,1.5048237982284,3,2,1,98,experiment1,A,100,1.14916828668131,2
0,1,0,-0.839839369451011,-0.777861380908392,-1.11158543237771,2,1,3,99,experiment1,A,100,1.14916828668131,2
0,1,0,0.802213900866373,0.328561948772271,0.267079982103486,1,2,3,100,experiment1,A,100,1.14916828668131,2
