correlation,pre_grouped,standardized,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,test_id,model_type,grouping,No_test_obs,MAD,MDR
0,1,0,-0.36013534557799,0.577408546913388,-0.446238560335949,0.484900056345509,0.744223191484738,4,2,5,3,1,35,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.901292160526837,0.624317094255845,0.419162269324619,0.225623442894182,0.731154245488223,5,2,3,4,1,36,experiment1,B,100,0.757655096072702,0.8
0,1,0,-1.19664159334157,0.0997527700881905,-0.423093950246035,0.584570542292564,0.113142857287093,5,3,4,1,2,37,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.246893141049182,2.84349854465222,-1.45229227160253,1.14266038183769,1.43270004669694,4,1,5,3,2,38,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.669042056849225,-1.00956164482591,0.147669277115932,1.16059958436897,2.8061226687825,3,5,4,2,1,39,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.997382956316175,-0.996063651649173,-0.211158091811443,2.14810313447039,0.494374138735228,2,5,4,1,3,40,experiment1,B,100,0.757655096072702,0.8
0,1,0,0.464103079588976,-0.442652654782704,1.1795423584735,0.322512826004094,0.939665760392431,3,5,1,4,2,41,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.737580155420475,1.21925730057961,0.780712755906882,-1.50193881942537,1.0164307079513,4,1,3,5,2,42,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.0660899640134557,-0.715711506120134,-0.311090210320811,0.355588011095049,-2.26136291928988,2,4,3,1,5,43,experiment1,B,100,0.757655096072702,0.8
0,1,0,1.52855388961977,-0.327634284109193,1.58132390946638,-0.783123511778722,-1.45365300366832,2,3,1,4,5,44,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.455151953507152,-0.489917237000285,-0.225565837863635,2.47249252457547,2.75100939342215,4,5,3,2,1,45,experiment1,B,100,0.757655096072702,0.8
0,1,0,-0.117771246726093,-0.921982616078435,0.56930040692796,-0.94720493383479,1.69588203979928,3,4,2,5,1,46,experiment1,B,100,0.757655096072702,0.8
0,1,0,-1.61628252463943,2.3422465223785,0.601507871570003,0.645438991096319,0.761673128572725,5,1,4,3,2,47,experiment1,B,100,0.757655096072702,0.8
0,1,0,1.11312711637698,2.4173625742724,0.66368722936257,0.984118490996576,0.0857570753581978,2,1,4,3,5,48,experiment1,B,100,0.757655096072702,0.8
0,1,0,1.31483871915547,-1.12662095688744,1.21371603297801,-0.0533865355217818,1.03517668982905,1,5,2,4,3,49,experiment1,B,100,0.757655096072702,0.8
