rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,mu.scale,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
copula,0.749233885897081,1.32944662626842,1.04553379452149,1.04140476889566,1.47614699570653,2.95775858618846,1.48492318898625,1.97294292362708,0.677177449178385,1.10962928153423,0.687929646649954,1.09671050363907,,,,,,,12.6840000000011,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,5,0.5,0.5,0.1,2000,100,1,1000,1236,HufSu,2019-01-03T15:38:49.094742Z
empirical_sigma.01,0.0375081602987325,0.0418987077780434,0.0446711378898593,0.0413593353222117,0.171250736595096,0.2039045955233,0.177297356872367,0.184150896330254,0.122909525534846,0.154681433498245,0.135959571471873,0.138731128932224,0.1,0.1,0.1,0.1,0.1,0.1,5.84599999999773,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1238,Xbdfq,2019-01-03T17:21:56.726177Z
empirical_AIC_each_k,0.0173330201497949,0.0245317670075588,0.0184949921484992,0.0201199264352843,0.08661335091785,0.117368054626267,0.0819086251691955,0.0952966769044377,0.0838641688787195,0.110513546217923,0.0644138168415633,0.0894117013439327,0.0325932907726395,0.0325932907726395,0.0325932907726395,0.0361795162955737,0.0361795162955737,0.0361795162955737,4171.97,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1238,Xbdfq,2019-01-03T17:21:56.726177Z
empirical_AIC_full,0.0165482985246001,0.0203095408111462,0.0154550710878108,0.0174376368078524,0.0805426738207605,0.0939731854256351,0.0652838685890222,0.0799332426118059,0.071536062962789,0.0973664976248625,0.062418353846171,0.0791274588401621,0.0260752630541641,0.0541275560190111,0.029694282194155,0.133351273554384,0.0304751589115026,0.103814299468413,3149.907,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1238,Xbdfq,2019-01-03T17:21:56.726177Z
empirical_independence,1.07930268976317,2.10806075275165,1.16082487645153,1.44939610632212,4.98500612082782,10.0430382078767,5.05803707295324,6.69536046721926,0.482949970626162,0.594979976948881,0.479434485278381,2.42768414516493,Inf,Inf,Inf,Inf,Inf,Inf,5.65400000000227,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1238,Xbdfq,2019-01-03T17:21:56.726177Z
Gaussian,0.113562490629976,0.234683799418076,0.127121069766553,0.158455786604868,0.545654808879025,1.1011977250148,0.557083017094453,0.734645183662761,0.447345478671455,0.901456059108892,0.454582466296115,0.686418364232717,,,,,,,5.01699999999983,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1238,Xbdfq,2019-01-03T17:21:56.726177Z
copula,0.639173630156013,1.25605146169154,0.655231336296619,0.850152142714725,3.24021147120258,6.40006352529728,3.17788058095369,4.27271852581785,1.3991437239177,1.68225654636847,1.36505132492853,2.11498740906814,,,,,,,11.3559999999998,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1238,Xbdfq,2019-01-03T17:21:56.726177Z
empirical_sigma.01,0.0423264878419751,0.0484313052358716,0.0393314063248679,0.0433630664675715,0.17921070990963,0.228153501735637,0.16850784049708,0.191957350714116,0.127917249263532,0.142874532816406,0.129378260202406,0.135629413251748,0.1,0.1,0.1,0.1,0.1,0.1,6.33699999999953,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1237,DREN2,2019-01-03T17:51:50.957900Z
empirical_AIC_each_k,0.0173796714751575,0.0259717236236692,0.0212958660228701,0.0215490870405656,0.0845693986741754,0.117642903449169,0.0868028078827938,0.0963383700020462,0.0790194627535275,0.0789212042868272,0.0717116071118583,0.0778523460641631,0.0288944027805199,0.0288944027805199,0.0288944027805199,0.0361023125526354,0.0361023125526354,0.0361023125526354,4308.001,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1237,DREN2,2019-01-03T17:51:50.957900Z
empirical_AIC_full,0.0153778718264372,0.0197287415119452,0.0179010866541983,0.0176692333308602,0.0749942856671619,0.0881748986304669,0.0730490226533119,0.0787394023169803,0.0694589257445808,0.0678593570227513,0.0612788263370611,0.0664134180641865,0.0272992536569351,0.0492629745182992,0.0250656546956803,0.101114197533017,0.0313667378503698,0.070805473686231,3134.036,Linear,Linear,Gaussianmix,"Fixed rho to 0.5, increasing distance between mixtures, mu.scale",3,FALSE,10,0.5,0.5,0.1,2000,100,1,1000,1237,DREN2,2019-01-03T17:51:50.957900Z
