rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_AIC_full,0.0358830544448664,0.0402326308994723,0.0319403275742947,0.0360186709728778,0.0422314706939269,0.044811234411045,0.0311180912252116,0.0393869321100611,0.0344094934270093,0.0349308153248674,0.032847100366404,0.0344772922867033,0.311508519195191,0.305993592175547,0.29282179096003,0.25423234185927,0.210889086400163,0.231897676647303,951.743000000017,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.46,1,0.1,2000,100,1,1000,1238,vAO8K,2018-12-29T16:17:42.908186Z
empirical_independence,0.22225950928644,0.212196553413873,0.278196834008399,0.23755096556957,0.26100126393731,0.228257215018073,0.268103715446415,0.252454064800599,0.191603926883255,0.181915607519398,0.185737591406719,0.186648151075262,Inf,Inf,Inf,Inf,Inf,Inf,2.84700000000885,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.46,1,0.1,2000,100,1,1000,1238,vAO8K,2018-12-29T16:17:42.908186Z
Gaussian,0.0202224272659231,0.0220238428462518,0.0206343796831862,0.0209602165984537,0.0216897336610797,0.0221540264215911,0.021024754297336,0.0216228381266689,0.0171180744931936,0.0173540960412329,0.0157858218992438,0.0167171610313384,,,,,,,2.77199999999721,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.46,1,0.1,2000,100,1,1000,1238,vAO8K,2018-12-29T16:17:42.908186Z
copula,0.0160413240693394,0.0203990524827666,0.0184889733408099,0.0183097832976386,0.0181852027284528,0.0211135954128362,0.0198108079935261,0.0197032020449384,0.0149740704943796,0.0159147199421069,0.0152553576478521,0.0153817625912626,,,,,,,5.61099999997532,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.46,1,0.1,2000,100,1,1000,1238,vAO8K,2018-12-29T16:17:42.908186Z
treeSHAP,0.194470874486184,0.289130513443411,0.282975368438363,0.255525585455986,0.220050767323099,0.252705706494716,0.270692335063695,0.24781626962717,0.164336846651971,0.170149685512889,0.202990064743103,0.180587114121819,,,,,,,0.00500000000465661,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.46,1,0.1,2000,100,1,1000,1238,vAO8K,2018-12-29T16:17:42.908186Z
empirical_sigma.01,0.0547440848031608,0.0648353544911793,0.0805152080642995,0.0666982157862132,0.0609599841383601,0.0717454739378378,0.0723276645921986,0.0683443742227988,0.0600743575108655,0.0902819892713252,0.0631480146849322,0.0723978387498222,0.1,0.1,0.1,0.1,0.1,0.1,2.84799999999814,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.5,1,0.1,2000,100,1,1000,1238,GeCGu,2018-12-29T16:50:50.391586Z
empirical_AIC_each_k,0.0377540589606358,0.0440045912094829,0.0395048610022882,0.0404211703908023,0.0437932823424493,0.0486852040986518,0.0386733325557181,0.0437172729989397,0.035049904838818,0.0412807014884502,0.0341206596366859,0.0370571776187476,0.289820877589822,0.289820877589822,0.289820877589822,0.228709699749613,0.228709699749613,0.228709699749613,931.04700000002,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.5,1,0.1,2000,100,1,1000,1238,GeCGu,2018-12-29T16:50:50.391586Z
empirical_AIC_full,0.0372635270079376,0.0439454214144027,0.0364010506196568,0.039203333013999,0.0433541099617499,0.0486482671092564,0.0367591379354528,0.042920505002153,0.0355984199142407,0.0406251842625853,0.0351972993904684,0.037416107576548,0.285361206118586,0.307144028962532,0.278046551660503,0.24399468973983,0.210049460187249,0.229119385416472,963.668000000005,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.5,1,0.1,2000,100,1,1000,1238,GeCGu,2018-12-29T16:50:50.391586Z
empirical_independence,0.225274687861181,0.223930294595488,0.284454937601668,0.244553306686112,0.265818481347666,0.234663500416432,0.277119087007681,0.25920035625726,0.199446011809865,0.183027584142101,0.19276168480036,0.19206453098226,Inf,Inf,Inf,Inf,Inf,Inf,2.82500000001164,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.5,1,0.1,2000,100,1,1000,1238,GeCGu,2018-12-29T16:50:50.391586Z
Gaussian,0.0193875521566656,0.0220517981684116,0.0194412512470841,0.0202935338573871,0.0205547654818288,0.0224303545934102,0.0207234592645856,0.0212361931132749,0.0166732324904876,0.0175440056843189,0.0158719714626691,0.0166759843095457,,,,,,,2.78499999997439,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.5,1,0.1,2000,100,1,1000,1238,GeCGu,2018-12-29T16:50:50.391586Z
