none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
5.41676173127985,-0.17003888121551,0.214333240381166,-0.405524564152296,0.214431411946104,0.371219120373244,4,3,5,2,1,0,1,0,24,experiment_gam1,B,100
5.4167617312211,0.227964810013396,0.516920275388994,0.451562996742011,-1.01683557709371,0.0738201510517753,3,1,2,5,4,0,1,0,25,experiment_gam1,B,100
5.4167617286426,0.467170873863511,-0.179365638022481,0.441895641830366,0.605450919284494,0.100097134402263,2,5,3,1,4,0,1,0,26,experiment_gam1,B,100
5.41676173145146,-0.0669048905802152,-0.145664093724341,0.180895013620096,0.429369838589039,0.228451209609836,4,5,3,1,2,0,1,0,27,experiment_gam1,B,100
5.41676172489162,-0.129226073245208,0.634476509788049,-0.255858270402696,0.388518018666503,0.316600044409775,4,1,5,2,3,0,1,0,28,experiment_gam1,B,100
5.41676172946262,0.444514914558716,0.0582334118864061,0.631363615094953,-1.03011636123084,-0.866621081638808,2,3,1,5,4,0,1,0,29,experiment_gam1,B,100
5.41676172998036,-0.444896235384309,0.327887654702731,0.386534374412055,0.729326633327502,-0.23088744123374,5,3,2,1,4,0,1,0,30,experiment_gam1,B,100
5.41676173077634,0.491483327884387,-0.246660637386023,0.570648864502483,0.308884688017839,0.627055972929594,3,5,2,4,1,0,1,0,31,experiment_gam1,B,100
5.4167617324642,0.749090395960633,0.316800040067178,-1.28593164835115,0.211784326368063,-1.30132467654451,1,2,4,3,5,0,1,0,32,experiment_gam1,B,100
5.41676172988659,0.159304867761544,-0.737035119207912,0.703298247911341,-0.327179717243194,0.153541029256135,2,5,1,4,3,0,1,0,33,experiment_gam1,B,100
5.41676173771345,0.35021431283507,-0.0209611971681132,0.0660069233470904,0.697896319456774,0.690144839843201,3,5,4,1,2,0,1,0,34,experiment_gam1,B,100
5.41676173140085,0.436378931817874,-0.102860219015808,0.610691981577463,0.160334356664589,-0.971567048976869,2,4,1,3,5,0,1,0,35,experiment_gam1,B,100
5.41676173060457,0.197152239386404,0.674186192304725,-2.9722397370525,0.700868192481337,0.686997067881844,4,3,5,1,2,0,1,0,36,experiment_gam1,B,100
5.41676173095908,-0.166458121195642,0.792355340213335,0.12933146938718,0.579069822575048,-0.148606089477654,5,1,3,2,4,0,1,0,37,experiment_gam1,B,100
5.41676173140473,0.721040024033643,-0.431023978037079,-1.77875406176877,0.0426213118125366,0.403274215065624,1,4,5,3,2,0,1,0,38,experiment_gam1,B,100
5.41676172995171,-0.406726892761323,0.587958101765765,0.216477471737352,-0.320262567636323,-0.665307540487924,4,1,2,3,5,0,1,0,39,experiment_gam1,B,100
5.41676172630707,-0.124491507964931,0.603537445516897,-0.716686977466791,-1.36970024944838,-0.218444719686536,2,1,4,5,3,0,1,0,40,experiment_gam1,B,100
5.41676172989838,0.607079503811663,0.669532079284436,-0.293747059533992,0.656416983063541,0.480340926862822,3,1,5,2,4,0,1,0,41,experiment_gam1,B,100
5.41676172849,0.217270326082918,0.43089173110223,-0.121561135985591,-0.427575301595645,-0.53161208438206,2,1,3,4,5,0,1,0,42,experiment_gam1,B,100
5.41676173219017,0.802892752172217,0.682714135931953,0.300098191741818,0.530537631935911,-1.50097837599476,1,2,4,3,5,0,1,0,43,experiment_gam1,B,100
5.41676172806314,-0.490845999847725,0.781328828244529,-0.430550828834193,0.201878312661015,0.34743303389605,5,1,4,3,2,0,1,0,44,experiment_gam1,B,100
5.41676173510208,-0.20712041803382,0.291702458168692,0.599430311130901,-1.72244924541732,-0.727693687534465,3,2,1,5,4,0,1,0,45,experiment_gam1,B,100
5.41676173442177,0.614491374779737,0.578349047857839,0.423245384861206,0.219156188542872,-0.155212410026307,1,2,3,4,5,0,1,0,46,experiment_gam1,B,100
5.41676172716269,-0.807872825462108,-0.35234010852073,0.611438007753405,0.566821878826856,-0.17679971885089,5,4,1,2,3,0,1,0,47,experiment_gam1,B,100
5.41676173061168,-0.171856277842804,-1.24439596520068,-1.09200374078606,-0.578591122219307,0.639167345845161,2,5,4,3,1,0,1,0,48,experiment_gam1,B,100
5.41676172906313,-0.335149112184539,0.41297410605745,0.0472489035012633,0.305130922392749,0.281891894216256,5,1,4,2,3,0,1,0,49,experiment_gam1,B,100
5.41676173398205,0.522165493513486,0.320180037159587,0.418357901907614,0.786186003000357,0.782384781309988,3,5,4,1,2,0,1,0,50,experiment_gam1,B,100
5.41676173228033,0.699033165708398,0.340782636922466,-0.367076063616255,-0.147530497935504,0.72178377932842,2,3,5,4,1,0,1,0,51,experiment_gam1,B,100
5.41676173306672,0.378926929717597,0.345139943653053,0.223087901861073,-0.29068805876949,0.0594932241864774,1,2,3,5,4,0,1,0,52,experiment_gam1,B,100
5.41676172605937,-1.37812100335793,-0.426247235012317,0.50596635149724,-0.103125476949569,0.315788357642841,5,4,1,3,2,0,1,0,53,experiment_gam1,B,100
5.4167617240907,-1.05011402983805,0.518098273006142,-0.775947764176209,0.269691148849999,-1.42973632973667,4,1,3,2,5,0,1,0,54,experiment_gam1,B,100
5.41676172907033,0.052812702758102,0.619139872941705,-0.0246004792916119,-0.0359981577061346,0.249914193670004,3,1,4,5,2,0,1,0,55,experiment_gam1,B,100
5.41676173143407,0.313747171662794,-0.92273056377579,-1.33220560501567,0.600296842548498,0.706356346585242,3,4,5,2,1,0,1,0,56,experiment_gam1,B,100
5.41676172875941,0.0391268154385406,-2.64794085863224,0.683819138226481,0.627307014735793,0.15852129792609,4,5,1,2,3,0,1,0,57,experiment_gam1,B,100
5.41676173381976,-0.688110108524683,0.792139149378086,-0.801557327771191,0.747661891071607,0.248200234121351,4,1,5,2,3,0,1,0,58,experiment_gam1,B,100
5.41676173238082,-0.785551058023408,-0.215000963551348,0.68717863293693,0.7486339341138,-0.462464564644412,5,3,2,1,4,0,1,0,59,experiment_gam1,B,100
5.41676172999023,0.125333652640995,0.412204122324839,0.607082012392066,0.118888556313796,-0.108165567167658,3,2,1,4,5,0,1,0,60,experiment_gam1,B,100
5.41676173591362,0.771750963246166,0.453190665293958,-0.2541815485812,0.185631781180744,-0.995681735649157,1,2,4,3,5,0,1,0,61,experiment_gam1,B,100
5.41676172679876,-0.547752820672251,0.584882552890711,0.777797501965224,0.0856243728181754,-0.0392690187066813,5,2,1,3,4,0,1,0,62,experiment_gam1,B,100
5.41676172786248,0.686771614890536,-0.0597678662351306,-0.306909737460471,0.61859176994101,0.220241504321472,1,4,5,2,3,0,1,0,63,experiment_gam1,B,100
5.41676173026616,-0.384954993654583,0.232967877709325,0.64519236436353,0.441301285151132,-1.26622968579192,4,3,1,2,5,0,1,0,64,experiment_gam1,B,100
5.41676172489685,0.0121618270699064,0.441138114685664,0.222333429651511,-1.57603004931256,-0.0723931827653149,3,1,2,5,4,0,1,0,65,experiment_gam1,B,100
5.41676172736675,0.00815714368180259,-2.45361926940528,0.636398712784426,0.0452462400932043,-1.42362760674829,3,5,1,2,4,0,1,0,66,experiment_gam1,B,100
5.41676172759024,0.781206475964043,-1.05082423785622,-0.0850769388356487,-0.338846022064837,0.344521816273421,1,5,3,4,2,0,1,0,67,experiment_gam1,B,100
5.41676173505308,0.659497298953313,-0.279369436722337,0.732725425912089,0.633359220581603,-0.547960000009759,2,4,1,3,5,0,1,0,68,experiment_gam1,B,100
