none,group1,group2,group3,group1_rank,group2_rank,group3_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
-0.724170002628797,0.937395921917143,1.14668756704859,-0.146184055033748,2,1,3,0,1,0,60,experiment_lm1,A,100
-0.724169993572084,-1.26130195233194,0.567911020925076,-3.38024903737115,2,1,3,0,1,0,61,experiment_lm1,A,100
-0.724169982461025,0.65079402420607,0.683620304504288,2.20550657048033,3,2,1,0,1,0,62,experiment_lm1,A,100
-0.724169976686443,-0.0685610036023959,0.719388523363054,1.82960182904284,3,2,1,0,1,0,63,experiment_lm1,A,100
-0.724170013252648,-1.25009958764943,-0.698491866428225,-1.87930907500065,2,1,3,0,1,0,64,experiment_lm1,A,100
-0.724169984658871,-0.0191034620840441,0.74007194323257,-2.12736608529122,2,1,3,0,1,0,65,experiment_lm1,A,100
-0.72417000322194,-4.11136027408721,-1.33587378254617,-2.29963249085378,3,1,2,0,1,0,66,experiment_lm1,A,100
-0.724170004129475,0.00708442896480654,0.832153617622448,-0.714245933631196,2,1,3,0,1,0,67,experiment_lm1,A,100
-0.724169995274956,0.602378708130653,0.556038525782214,-2.6298993745379,1,2,3,0,1,0,68,experiment_lm1,A,100
-0.724169983369695,0.929619032088429,-0.113937223228487,-1.68833826190234,1,2,3,0,1,0,69,experiment_lm1,A,100
-0.724169989879115,-1.29970525193311,-0.830294381240568,0.21993647027865,3,2,1,0,1,0,70,experiment_lm1,A,100
-0.724170008246268,1.49989554522648,-1.75559092938456,0.818823730492412,1,3,2,0,1,0,71,experiment_lm1,A,100
-0.724169976651229,-1.525810526657,1.22839934150828,-1.18355089280592,3,1,2,0,1,0,72,experiment_lm1,A,100
-0.724169988465728,1.26721307784324,-0.363750817568862,0.014719342593343,1,3,2,0,1,0,73,experiment_lm1,A,100
-0.724169998034708,1.96041880414795,-0.390956161418319,-0.219938417133863,1,3,2,0,1,0,74,experiment_lm1,A,100
-0.724170017363607,1.25286004408751,-0.821340571963921,3.05569835639095,2,3,1,0,1,0,75,experiment_lm1,A,100
-0.724169995944352,2.81248107424627,-0.513075011902412,-1.4945564732621,1,2,3,0,1,0,76,experiment_lm1,A,100
-0.724169979559453,-1.36732274164731,-1.40129661997991,-2.11695321229493,1,2,3,0,1,0,77,experiment_lm1,A,100
-0.724169990381373,-1.04652160329316,-0.616579183153448,-3.11266052760765,2,1,3,0,1,0,78,experiment_lm1,A,100
-0.724169990180798,1.48089477661048,-0.139397062290318,0.769170390764533,1,3,2,0,1,0,79,experiment_lm1,A,100
-0.724169978313651,0.14714173564547,-0.29644912220619,0.15472136137046,2,3,1,0,1,0,80,experiment_lm1,A,100
-0.724169989711583,1.07876205693222,-0.305686333836552,1.33191344392105,2,3,1,0,1,0,81,experiment_lm1,A,100
-0.724169995555858,1.94887928006206,1.62729277922601,-0.464734754156948,1,2,3,0,1,0,82,experiment_lm1,A,100
-0.724169970819498,0.754376298517325,1.28829694868783,0.963647977027822,3,1,2,0,1,0,83,experiment_lm1,A,100
-0.724169975266466,-0.435963923565951,-1.1018496670007,0.627968186452137,2,3,1,0,1,0,84,experiment_lm1,A,100
-0.724170013756199,3.26149673026693,-0.886855921163939,-0.0618208830539034,1,3,2,0,1,0,85,experiment_lm1,A,100
-0.724169982739141,-1.58221933313554,-1.55518565962488,-1.1255757727054,3,2,1,0,1,0,86,experiment_lm1,A,100
-0.724169964246524,4.56104605485383,0.157741348977968,2.49212556807172,1,3,2,0,1,0,87,experiment_lm1,A,100
-0.724169975173684,-1.27762099864193,-0.605456417186197,-0.603609299894953,3,2,1,0,1,0,88,experiment_lm1,A,100
-0.724169991205357,-1.14693491497965,1.21266600828005,1.45659735885087,3,2,1,0,1,0,89,experiment_lm1,A,100
-0.724169981811197,-0.973924731653517,1.76720483852325,0.442515596721238,3,1,2,0,1,0,90,experiment_lm1,A,100
-0.724170014756622,1.70920717962705,0.912479430755472,2.32144313958007,2,3,1,0,1,0,91,experiment_lm1,A,100
-0.724169981046331,0.0176364153998702,-0.125057229980322,0.833622802305297,2,3,1,0,1,0,92,experiment_lm1,A,100
