none,group1,group2,group3,group4,group5,group1_rank,group2_rank,group3_rank,group4_rank,group5_rank,correlation,pre_grouped,standardized,test_id,model_type,grouping,No_test_obs
-0.724169972058001,1.15115908443225,2.37447875584345,0.66400844088042,0.962691863456578,0.11171433468917,2,1,4,3,5,0,1,0,48,experiment_lm1,B,100
-0.72416998500348,1.30488676435171,-1.11293747006411,1.22685758576805,-0.0601037245188014,1.0250207918802,1,5,2,4,3,0,1,0,49,experiment_lm1,B,100
-0.724169995158659,-0.333649292217984,-1.60200275253624,0.813234410278622,-0.10385286675191,0.29348227340279,4,5,1,3,2,0,1,0,50,experiment_lm1,B,100
-0.724169987457702,0.307623305490208,0.88641912853529,-1.38714516661628,1.37496081717229,0.261379009023452,3,2,5,1,4,0,1,0,51,experiment_lm1,B,100
-0.72417000302529,0.426927436455461,0.510445912380806,0.991833951282779,1.03194512529917,-0.00635256289361591,4,3,2,1,5,0,1,0,52,experiment_lm1,B,100
-0.724169976160749,-1.80797551706943,-1.53181116267395,0.462516549141383,-1.30811753249367,-1.45924633135551,5,4,1,2,3,0,1,0,53,experiment_lm1,B,100
-0.724169988560821,-1.52634455944958,1.21872101894317,0.419699624773702,0.989091885993444,3.33923582287919,5,2,4,3,1,0,1,0,54,experiment_lm1,B,100
-0.724169988035127,-1.05125593693126,0.526560526999926,-0.0205161283044139,1.04215718299673,1.03332104228049,5,3,4,1,2,0,1,0,55,experiment_lm1,B,100
-0.724169983801664,-0.789964416383061,2.81722384275217,-0.561468949024507,-0.0305851283440654,-0.275832330885189,5,1,4,2,3,0,1,0,56,experiment_lm1,B,100
-0.724169992769633,0.605548405839321,5.57177774117737,-0.433260073164329,0.549921199955042,1.88367847621439,3,1,5,4,2,0,1,0,57,experiment_lm1,B,100
-0.72417000579899,-1.03856778979412,-0.0638276332569035,1.29325963705388,0.218690082482107,-0.682398540754003,5,3,1,2,4,0,1,0,58,experiment_lm1,B,100
