n_vars,n_test,n_train,correlation,model,n_batches,n_samples,n_cores,computer_name,approach,time
10,20,1000,0.5,xgboost,1,1000,32,Linuxjullum,independence,17.4929999999999
5,5,10000,0.5,xgboost,1,1000,32,Linuxjullum,independence,2.31999999999994
7,5,10000,0.5,xgboost,1,1000,32,Linuxjullum,independence,3.24199999999996
10,5,10000,0.5,xgboost,1,1000,32,Linuxjullum,independence,7.32399999999984
5,20,10000,0.5,xgboost,1,1000,32,Linuxjullum,independence,2.99399999999991
7,20,10000,0.5,xgboost,1,1000,32,Linuxjullum,independence,5.16400000000022
10,20,10000,0.5,xgboost,1,1000,32,Linuxjullum,independence,18.721
5,5,1000,0.5,xgboost,2,1000,32,Linuxjullum,independence,3.202
7,5,1000,0.5,xgboost,2,1000,32,Linuxjullum,independence,3.51900000000001
10,5,1000,0.5,xgboost,2,1000,32,Linuxjullum,independence,5.99900000000002
5,20,1000,0.5,xgboost,2,1000,32,Linuxjullum,independence,3.4530000000002
7,20,1000,0.5,xgboost,2,1000,32,Linuxjullum,independence,4.52400000000012
10,20,1000,0.5,xgboost,2,1000,32,Linuxjullum,independence,11.4960000000001
5,5,10000,0.5,xgboost,2,1000,32,Linuxjullum,independence,3.40300000000002
7,5,10000,0.5,xgboost,2,1000,32,Linuxjullum,independence,3.76700000000005
10,5,10000,0.5,xgboost,2,1000,32,Linuxjullum,independence,6.36500000000001
5,20,10000,0.5,xgboost,2,1000,32,Linuxjullum,independence,3.65599999999995
7,20,10000,0.5,xgboost,2,1000,32,Linuxjullum,independence,4.95700000000011
10,20,10000,0.5,xgboost,2,1000,32,Linuxjullum,independence,12.423
5,5,1000,0.5,xgboost,4,1000,32,Linuxjullum,independence,5.33899999999994
7,5,1000,0.5,xgboost,4,1000,32,Linuxjullum,independence,5.173
10,5,1000,0.5,xgboost,4,1000,32,Linuxjullum,independence,7.26099999999997
5,20,1000,0.5,xgboost,4,1000,32,Linuxjullum,independence,5.23700000000008
7,20,1000,0.5,xgboost,4,1000,32,Linuxjullum,independence,6.05500000000006
10,20,1000,0.5,xgboost,4,1000,32,Linuxjullum,independence,10.6509999999998
5,5,10000,0.5,xgboost,4,1000,32,Linuxjullum,independence,5.43100000000004
7,5,10000,0.5,xgboost,4,1000,32,Linuxjullum,independence,5.56000000000017
10,5,10000,0.5,xgboost,4,1000,32,Linuxjullum,independence,7.45700000000011
5,20,10000,0.5,xgboost,4,1000,32,Linuxjullum,independence,5.47299999999996
7,20,10000,0.5,xgboost,4,1000,32,Linuxjullum,independence,6.57799999999998
10,20,10000,0.5,xgboost,4,1000,32,Linuxjullum,independence,11.154
5,5,1000,0.5,xgboost,6,1000,32,Linuxjullum,independence,7.44100000000003
7,5,1000,0.5,xgboost,6,1000,32,Linuxjullum,independence,7.40000000000009
10,5,1000,0.5,xgboost,6,1000,32,Linuxjullum,independence,8.72900000000004
5,20,1000,0.5,xgboost,6,1000,32,Linuxjullum,independence,7.43799999999987
7,20,1000,0.5,xgboost,6,1000,32,Linuxjullum,independence,7.71000000000004
