rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,mu.scale,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
treeSHAP,0.33625674528596,0.1247253606497,-0.698560435175,-0.0791927764131132,2.41158092089694,5.02306631774276,0.315648971743803,2.58343207012784,0.60011719454225,0.845337621394203,0.287749899261145,0.577734905065866,0.209155162850817,0.292275132504443,0.152095957899464,0.320422099194809,,,,,,,0.0830000000005384,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1239,kvyuO,2019-01-17T17:54:52.367612Z
empirical_sigma.01,0.949537145327844,0.919062253224444,0.691360072087377,0.853319823546555,0.452492416318355,0.6993686621335,0.0640244888327504,0.405295189094868,0.049427007194549,0.0695153715546031,0.0547033632134932,0.0578819139875484,0.0494443110483498,0.0723779906982332,0.0563676788294093,0.060568511559154,0.1,0.1,0.1,0.1,0.1,0.1,5.41699999999946,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1238,4dIky,2019-01-17T18:02:11.477196Z
empirical_AIC_each_k,0.952991422869558,0.919550413599837,0.694415480318444,0.85565243892928,0.349516680271856,0.783176424808061,0.0647873518909632,0.399160152323627,0.0460436353655974,0.069096103027549,0.0541618224369645,0.056433853610037,0.0414208569689163,0.0594335635429214,0.0594417534803542,0.0547630825106869,0.178848921038935,0.178848921038935,0.178848921038935,0.12237644568259,0.12237644568259,0.12237644568259,1242.47,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1238,4dIky,2019-01-17T18:02:11.477196Z
empirical_AIC_full,0.95288240267815,0.927638744146624,0.764138768803185,0.88155330520932,0.422776684650462,0.652577832935954,0.0489102945390952,0.37475493737517,0.0461504177071852,0.0621492416975006,0.0418040617278584,0.0500345737108481,0.0493688626485208,0.0592886767956782,0.0358420879088766,0.0497293994128804,0.0915955648029548,0.32434418090561,0.137520446126211,0.213026345201304,0.108718781879573,0.111411966705932,1325.66,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1238,4dIky,2019-01-17T18:02:11.477196Z
empirical_independence,0,0,0,0,5.07573838496742,7.80701759484139,0.195772910031749,4.35950962994685,0.979473070155541,0.858874558830654,0.177240072544923,0.671862567177039,0.254359423909467,0.288583434010373,0.149953800140137,0.42615560902656,Inf,Inf,Inf,Inf,Inf,Inf,9.06800000000112,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1238,4dIky,2019-01-17T18:02:11.477196Z
Gaussian,0.680339745301592,0.668178031090231,-0.538611402414466,0.269968791325786,1.37998599414286,3.0821546840124,0.32190631791598,1.59468233202375,0.313098611076152,0.284993447157697,0.272703596582386,0.290265218272078,0.275477673991961,0.207952457352609,0.191067883511153,0.227638953378979,,,,,,,8.36999999999898,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1238,4dIky,2019-01-17T18:02:11.477196Z
copula,0.472474682104431,0.43975673045885,-0.083462523256777,0.276256296435501,2.03357097699582,2.45581771203018,0.226646178712112,1.57201162257937,0.516696842703951,0.481178690964998,0.192032976221737,0.396636169963562,0.346727646274096,0.287586962327809,0.16290481220319,0.311750975957828,,,,,,,13.3160000000007,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1238,4dIky,2019-01-17T18:02:11.477196Z
treeSHAP,0.374417170835176,0.0861226832683526,-0.12411355203458,0.112142100689649,3.14388027054934,6.77455036240337,0.231622326364306,3.38335098643901,0.61274153431866,0.784905977233236,0.19923796751134,0.532295159687745,0.185174885054984,0.224378518353669,0.138279097654113,0.308155554218091,,,,,,,0.0389999999988504,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1238,4dIky,2019-01-17T18:02:11.477196Z
empirical_sigma.01,0.940681846878758,0.916844530886962,0.71326919859669,0.85693185878747,0.180981804198104,0.500320493304225,0.056421195106117,0.245907830869482,0.0439384671594455,0.0615916967325236,0.043817090162588,0.0497824180181857,0.0535448761707628,0.0534974143582479,0.045343035782165,0.0514549638550137,0.1,0.1,0.1,0.1,0.1,0.1,6.80000000000109,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1235,U6vMQ,2019-01-17T17:52:00.335537Z
empirical_AIC_each_k,0.939269367569612,0.917481952622191,0.762865972695205,0.873205764295669,0.196511259268132,0.652681732990534,0.0428351352222054,0.297342709160291,0.0449847265669405,0.0611195704054677,0.036237903302257,0.0474474000915551,0.0378327225826036,0.0440860016119808,0.0309872081370683,0.0392675087143223,0.188199344100469,0.188199344100469,0.188199344100469,0.151118471540048,0.151118471540048,0.151118471540048,1603.082,PiecewiseConstant,XGBoost,Gaussianmix,"Fixed rho to 0.2, increasing distance between mixtures, mu.scale",3,FALSE,3,0.2,0.5,0.1,2000,100,1,1000,1235,U6vMQ,2019-01-17T17:52:00.335537Z
