rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
copula,0.924271146755969,0.920500795974381,0.881382464274489,0.908718135668279,0.0713212897645127,0.133627907840217,0.134107937792649,0.11301904513246,0.0226259831294956,0.0264750845713266,0.0368771366517638,0.028659401450862,0.0169276780943646,0.0186239067145267,0.0229778597879225,0.0205156681607083,,,,,,,9.31000000001222,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.52,1,0.1,2000,100,1,1000,1241,RaGQ9,2019-01-17T03:59:41.945059Z
empirical_sigma.01,0.745985987295113,0.721934345017648,0.718639563342819,0.72885329855186,0.373683772431663,0.142833041833312,0.33216557423584,0.282894129500271,0.0643382545345963,0.075281143780461,0.0767597559229881,0.0721263847460151,0.0749647843919274,0.0889915296170928,0.105995615241503,0.0907394640064144,0.1,0.1,0.1,0.1,0.1,0.1,4.03199999999924,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.4,1,0.1,2000,100,1,1000,1243,wiWdu,2019-01-17T04:15:20.705266Z
empirical_AIC_each_k,0.820256339538735,0.813080055428891,0.844866668005246,0.826067687657624,0.202650096948802,0.105703509051374,0.144877409396474,0.151077005132217,0.0455265961692137,0.0506051249787988,0.0423229251451094,0.046151548764374,0.0468872597082061,0.0526690467895369,0.0720436558176409,0.0581083865093517,0.245576149576045,0.245576149576045,0.245576149576045,0.199755593823484,0.199755593823484,0.199755593823484,1850.377,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.4,1,0.1,2000,100,1,1000,1243,wiWdu,2019-01-17T04:15:20.705266Z
empirical_AIC_full,0.819445457627308,0.811377685719851,0.84430087309716,0.825041338814773,0.201441942309606,0.105463272878174,0.14643405746934,0.151113090885707,0.045731981400758,0.0510660101565884,0.0424772833042137,0.04642509162052,0.0467162343325343,0.0533576585058491,0.0722967005170438,0.0583820318215942,0.240999733965719,0.252823604976079,0.244886481372797,0.201745982888983,0.196250113457882,0.201507281877083,1714.766,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.4,1,0.1,2000,100,1,1000,1243,wiWdu,2019-01-17T04:15:20.705266Z
empirical_independence,0,0,0,0,0.840219949518947,0.470151445931528,1.03602067425195,0.782130689900808,0.253286241374976,0.270731542826599,0.27281645150599,0.265611411902522,0.180213593858506,0.207787543732457,0.205851306095936,0.19787933174687,Inf,Inf,Inf,Inf,Inf,Inf,3.89199999999255,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.4,1,0.1,2000,100,1,1000,1243,wiWdu,2019-01-17T04:15:20.705266Z
Gaussian,0.890892540783895,0.868031577871005,0.92958621064305,0.896170109765983,0.138118816529253,0.0824804524801605,0.109243503091911,0.109947590700442,0.0276354182508208,0.0357280145273747,0.0192100401494533,0.0275244909758829,0.0187105878838665,0.019948992417877,0.0154013292595085,0.019283460630016,,,,,,,3.30199999999604,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.4,1,0.1,2000,100,1,1000,1243,wiWdu,2019-01-17T04:15:20.705266Z
copula,0.884730793173045,0.883295587883723,0.923295691084485,0.897107357380418,0.100596066063642,0.0563602438678976,0.0835240395485764,0.0801601164933719,0.0291961041434741,0.031595565546911,0.0209261973735501,0.0272392890213117,0.0244803306215738,0.0253040762350601,0.0147149374867306,0.0224294696925908,,,,,,,8.66000000000349,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.4,1,0.1,2000,100,1,1000,1243,wiWdu,2019-01-17T04:15:20.705266Z
empirical_sigma.01,0.763961566463803,0.740675099391079,0.749877367371152,0.751504677742012,0.477880238544125,0.146845643212471,0.556012403174862,0.393579428310486,0.0630611572512213,0.0740121661791349,0.0720233768839411,0.0696989001047658,0.0750991317361783,0.0836218018009666,0.093345587269045,0.0842049026476868,0.1,0.1,0.1,0.1,0.1,0.1,3.78699999999662,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.44,1,0.1,2000,100,1,1000,1243,22JoV,2019-01-17T04:18:17.702804Z
empirical_AIC_each_k,0.834549018543337,0.826743347795815,0.852490936234985,0.837927767524712,0.239458874089772,0.11764775439067,0.250695521874404,0.202600716784948,0.0442026758214676,0.0494480094447806,0.0424755680111117,0.04537541775912,0.0473437290296997,0.0525361205592986,0.0690973280248147,0.0569706980467977,0.243162267724777,0.243162267724777,0.243162267724777,0.192282926438252,0.192282926438252,0.192282926438252,1785.74600000001,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.44,1,0.1,2000,100,1,1000,1243,22JoV,2019-01-17T04:18:17.702804Z
empirical_AIC_full,0.834142867479,0.826668015080867,0.854108537796868,0.838306473452245,0.240849316330372,0.117060927082236,0.246834580654331,0.201581608022313,0.0443111850830831,0.0494695096455109,0.0420097759885545,0.0452634902390495,0.0472728028024299,0.0522038374194597,0.0681890280095482,0.0564939668460661,0.237894269659335,0.243746561470844,0.250936098352184,0.193589634225175,0.190971229178026,0.192369791679356,1675.765,Linear,Linear,Gaussian,All var equal contribution,3,FALSE,0.44,1,0.1,2000,100,1,1000,1243,22JoV,2019-01-17T04:18:17.702804Z
