rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,rho,pi.G,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
Gaussian,0.851294546996361,0.86607260414332,0.852685477649146,0.856684209596275,0.0197256420611093,0.0174852001809783,0.0189452097978826,0.0187186840133234,0.0214997863207325,0.0182369219284337,0.0206833528838342,0.0201400203776668,0.0154993233056009,0.0146500385807515,0.014789412190534,0.0149984339201117,,,,,,,9.3859999999986,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.2,1,0.1,2000,100,1,1000,1237,deDXU,2019-01-16T22:47:21.080667Z
copula,0.844315226949138,0.790302620299271,0.823858769340989,0.819492205529799,0.0203656305144345,0.0273635453126468,0.0228572985247519,0.0235288247839444,0.0225088541568367,0.0285545367154883,0.0247306998181502,0.0252646968968251,0.0161975526832253,0.0196546963471856,0.0163949741866823,0.017607683203703,,,,,,,12.8159999999989,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.2,1,0.1,2000,100,1,1000,1237,deDXU,2019-01-16T22:47:21.080667Z
treeSHAP,0.273338249461871,0.188892363952211,0.0162785806888547,0.159503064700979,0.0963246213861039,0.10858121416283,0.121374947284747,0.108760260944561,0.105060520972535,0.110448699009943,0.138117117920932,0.117875445967803,0.074124728148412,0.0835849541199031,0.0947607462338204,0.0855339668735988,,,,,,,0.0370000000038999,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.2,1,0.1,2000,100,1,1000,1237,deDXU,2019-01-16T22:47:21.080667Z
empirical_sigma.01,0.760907533893742,0.787767560894452,0.702688748191491,0.750454614326561,0.0542854578665661,0.0612652409855211,0.0664944572550757,0.0606817187023876,0.0629787742177115,0.0608621558074328,0.0746120208414694,0.0661509836222046,0.0538439080186406,0.0524536791609898,0.074605912256137,0.0612414892714737,0.1,0.1,0.1,0.1,0.1,0.1,8.57899999999791,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.52,1,0.1,2000,100,1,1000,1241,mZweJ,2019-01-16T23:19:17.855357Z
empirical_AIC_each_k,0.802966257049664,0.852272299116925,0.801493331330802,0.818910629165797,0.0432283548322625,0.0386226693524447,0.0439940169118129,0.0419483470321734,0.0519001866207905,0.0423640532338606,0.04981642507582,0.048026888310157,0.0402446590701013,0.0319555572200919,0.0387960128183684,0.0372765772662947,0.289955033722341,0.289955033722341,0.289955033722341,0.211996143120505,0.211996143120505,0.211996143120505,1624.916,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.52,1,0.1,2000,100,1,1000,1241,mZweJ,2019-01-16T23:19:17.855357Z
empirical_AIC_full,0.807229099963821,0.851627165439195,0.799163198781162,0.819339821394726,0.0422619438451775,0.0389935174209567,0.0445665291197753,0.0419406634619698,0.0507773213720922,0.0425490590066639,0.0504011856501325,0.0479091886762962,0.0406555711085538,0.0308295544567144,0.039467421013781,0.0373117181628912,0.281448466057693,0.301933263221291,0.286748096134918,0.210851766283982,0.196294922636151,0.464333536319551,1633.091,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.52,1,0.1,2000,100,1,1000,1241,mZweJ,2019-01-16T23:19:17.855357Z
empirical_independence,0,0,0,0,0.209426600832282,0.262426589985971,0.218283062517243,0.230045417778499,0.263407606451816,0.286771221515127,0.25095592712221,0.267044918363051,0.207165909571628,0.199907742629426,0.185218238556967,0.197540023550247,Inf,Inf,Inf,Inf,Inf,Inf,8.65999999999622,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.52,1,0.1,2000,100,1,1000,1241,mZweJ,2019-01-16T23:19:17.855357Z
Gaussian,0.917899051261374,0.912890468156951,0.878947188261254,0.903245569226526,0.0185105087086457,0.0231382747495043,0.0291562304800361,0.0236016713127287,0.0216260143946648,0.0249805068522419,0.0303789206006475,0.0256618139491847,0.01601902109231,0.016376213475827,0.0195951958821102,0.0177183128790194,,,,,,,8.96099999999569,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.52,1,0.1,2000,100,1,1000,1241,mZweJ,2019-01-16T23:19:17.855357Z
copula,0.920164228626331,0.925964975520872,0.878446702432942,0.908191968860048,0.0193995631824504,0.0197715648859365,0.0286454591229116,0.0226055290637661,0.0210293494467726,0.0212311144047819,0.0305045204857029,0.0242549947790858,0.0165341380715279,0.0176307475748153,0.0208917770052505,0.0189090913249225,,,,,,,12.7949999999983,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.52,1,0.1,2000,100,1,1000,1241,mZweJ,2019-01-16T23:19:17.855357Z
treeSHAP,0.232857903107709,0.119783417983647,0.0950776025500745,0.14923964121381,0.158650530154057,0.295501606892968,0.207629404649393,0.22059384723214,0.202071063550826,0.252420784422699,0.2270956392257,0.227195829066408,0.192557381036997,0.190338819249404,0.166238374829043,0.183973738983291,,,,,,,0.0299999999988358,PiecewiseConstant,XGBoost,Gaussian,All var equal contribution,3,FALSE,0.52,1,0.1,2000,100,1,1000,1241,mZweJ,2019-01-16T23:19:17.855357Z
